Question,Response,Response Time
How can I find information about my specific region on this website?,"Sorry, I couldn't find a relevant response in the database.",3.581763
Where can I look for data related to different regions on this site?,"Sorry, I couldn't find a relevant response in the database.",3.478688
Can you help me find information about males and females seperately on this website?,"Sorry, I couldn't find a relevant response in the database.",3.466785
Where can I find options for different genders on this website?,"Sorry, I couldn't find a relevant response in the database.",4.110276
How can I find information about different age groups on this website?,"Sorry, I couldn't find a relevant response in the database.",3.491921
Where can I look for details on specific age categories or ranges?,"Sorry, I couldn't find a relevant response in the database.",3.638516
Where can I find the latest data for a specific year on this website?,"Sorry, I couldn't find a relevant response in the database.",3.611518
How do I filter information by a particular year or range of years here?,"Sorry, I couldn't find a relevant response in the database.",4.007548
Which is the latest year you have data upto?,"Sorry, I couldn't find a relevant response in the database.",3.645362
What geographical or statistical areas your map covers?,"Sorry, I couldn't find a relevant response in the database.",3.980648
What all filters are available for various statistical areas?,"Sorry, I couldn't find a relevant response in the database.",3.45944
How can I find information about different political areas on this website?,"Sorry, I couldn't find a relevant response in the database.",3.773634
"What are service layers?,""There is an option on the right-hand side pane on Atlas maps to display various services available","Sorry, I couldn't find a relevant response in the database.",3.748376
How can I find information about healthcare and childcare,"Sorry, I couldn't find a relevant response in the database.",3.553007
What is national scale?,The first help screen explains the National scale and scoring categories represented in different colours.,3.67498
What does the color codes for different region indiactes?,"Sorry, I couldn't find a relevant response in the database.",3.686895
Where can I find information about the national distribution?,"All results for the specific indicator will display on a national distribution chart. The result for the chosen area is visualised beneath the chart by a black dot. By clicking anywhere on the same chart, it will display the results for the same indicator in other statistical/geographical areas.",3.863353
How do I know the distribution of an indicator across different regions in Australia?,"Sorry, I couldn't find a relevant response in the database.",3.878051
what latest data do you have on Atlas?,"Sorry, I couldn't find a relevant response in the database.",3.748498
You have data upto which year?,"Sorry, I couldn't find a relevant response in the database.",3.70822
﻿How can I find information about experiences of violence in my area?,"Sorry, I couldn't find a relevant response in the database.",3.483639
How can I find information about young people who have committed different types of offences?,"Sorry, I couldn't find a relevant response in the database.",3.595858
"Where can I look for details about specific offences like burglary, drug offences, or graffiti on this website?","Sorry, I couldn't find a relevant response in the database.",3.621164
Where can I find all the different filters on this website?,"Sorry, I couldn't find a relevant response in the database.",3.620017
What all filters I can apply to the data here?,"Sorry, I couldn't find a relevant response in the database.",3.5034
What different age groups do you have?,"Sorry, I couldn't find a relevant response in the database.",3.670514
How can I find information about my specific region on this website?,"Sorry, I couldn't find a relevant response in the database.",3.678935
Where can I look for data related to different regions on this site?,"Sorry, I couldn't find a relevant response in the database.",3.581076
Can you help me find information about males and females seperately on this website?,"Sorry, I couldn't find a relevant response in the database.",3.628656
Where can I find options for different genders on this website?,"Sorry, I couldn't find a relevant response in the database.",3.580481
How can I find information about different age groups on this website?,"Sorry, I couldn't find a relevant response in the database.",3.110023
Where can I look for details on specific age categories or ranges?,"Sorry, I couldn't find a relevant response in the database.",3.454195
Where can I find the latest data for a specific year on this website?,"Sorry, I couldn't find a relevant response in the database.",3.408655
How do I filter information by a particular year or range of years here?,"Sorry, I couldn't find a relevant response in the database.",3.627204
Which is the latest year you have data upto?,"Sorry, I couldn't find a relevant response in the database.",3.598744
What geographical or statistical areas your map covers?,"Sorry, I couldn't find a relevant response in the database.",4.172641
What all filters are available for various statistical areas?,"Sorry, I couldn't find a relevant response in the database.",3.758943
How can I find information about different political areas on this website?,"Sorry, I couldn't find a relevant response in the database.",3.974098
"What are service layers?,""There is an option on the right-hand side pane on Atlas maps to display various services available","Sorry, I couldn't find a relevant response in the database.",3.661071
How can I find information about healthcare and childcare,"Sorry, I couldn't find a relevant response in the database.",3.70175
What is national scale?,The first help screen explains the National scale and scoring categories represented in different colours.,3.500529
What does the color codes for different region indiactes?,"Sorry, I couldn't find a relevant response in the database.",3.629006
Where can I find information about the national distribution?,"All results for the specific indicator will display on a national distribution chart. The result for the chosen area is visualised beneath the chart by a black dot. By clicking anywhere on the same chart, it will display the results for the same indicator in other statistical/geographical areas.",3.532624
How do I know the distribution of an indicator across different regions in Australia?,"Sorry, I couldn't find a relevant response in the database.",4.042986
what latest data do you have on Atlas?,"Sorry, I couldn't find a relevant response in the database.",3.48383
You have data upto which year?,"Sorry, I couldn't find a relevant response in the database.",3.619614
﻿How can I find information about experiences of violence in my area?,"Sorry, I couldn't find a relevant response in the database.",3.776661
How can I find information about young people who have committed different types of offences?,"Sorry, I couldn't find a relevant response in the database.",3.697529
"Where can I look for details about specific offences like burglary, drug offences, or graffiti on this website?","Sorry, I couldn't find a relevant response in the database.",3.656447
Where can I find all the different filters on this website?,"Sorry, I couldn't find a relevant response in the database.",3.756289
What all filters I can apply to the data here?,"Sorry, I couldn't find a relevant response in the database.",3.793024
What different age groups do you have?,"Sorry, I couldn't find a relevant response in the database.",3.74176
How can I find information about my specific region on this website?,"Sorry, I couldn't find a relevant response in the database.",3.708561
Where can I look for data related to different regions on this site?,"Sorry, I couldn't find a relevant response in the database.",3.83075
Can you help me find information about males and females seperately on this website?,"Sorry, I couldn't find a relevant response in the database.",3.772598
Where can I find options for different genders on this website?,"Sorry, I couldn't find a relevant response in the database.",3.687801
How can I find information about different age groups on this website?,"Sorry, I couldn't find a relevant response in the database.",3.79774
Where can I look for details on specific age categories or ranges?,"Sorry, I couldn't find a relevant response in the database.",3.755804
Where can I find the latest data for a specific year on this website?,"Sorry, I couldn't find a relevant response in the database.",3.735529
How do I filter information by a particular year or range of years here?,"Sorry, I couldn't find a relevant response in the database.",3.713551
Which is the latest year you have data upto?,"Sorry, I couldn't find a relevant response in the database.",3.621762
What geographical or statistical areas your map covers?,"Sorry, I couldn't find a relevant response in the database.",3.63507
What all filters are available for various statistical areas?,"Sorry, I couldn't find a relevant response in the database.",3.584457
How can I find information about different political areas on this website?,"Sorry, I couldn't find a relevant response in the database.",3.781582
"What are service layers?,""There is an option on the right-hand side pane on Atlas maps to display various services available","Sorry, I couldn't find a relevant response in the database.",3.701637
How can I find information about healthcare and childcare,"Sorry, I couldn't find a relevant response in the database.",3.611161
What is national scale?,The first help screen explains the National scale and scoring categories represented in different colours.,3.69914
What does the color codes for different region indiactes?,"Sorry, I couldn't find a relevant response in the database.",3.772578
Where can I find information about the national distribution?,"All results for the specific indicator will display on a national distribution chart. The result for the chosen area is visualised beneath the chart by a black dot. By clicking anywhere on the same chart, it will display the results for the same indicator in other statistical/geographical areas.",3.716296
How do I know the distribution of an indicator across different regions in Australia?,"Sorry, I couldn't find a relevant response in the database.",3.545788
what latest data do you have on Atlas?,"Sorry, I couldn't find a relevant response in the database.",3.661379
You have data upto which year?,"Sorry, I couldn't find a relevant response in the database.",3.559917
﻿Where can I find all filters?,"On Atlas maps, results can be filtered by Age & Sex, Collection Year(s), and Statistical Area.",3.946301
What all filters are available?,"On Atlas maps, results can be filtered by Age & Sex, Collection Year(s), and Statistical Area.",3.902815
how can I filter by age and sex?,"On Atlas maps, results can be filtered by Age & Sex, Collection Year(s), and Statistical Area.",4.227026
how to select region?,"There are three ways you can select a region or area of interest. Option 1 - On the Atlas map, Enter a region or area of interest into the search box on the top left-hand corner of the screen. Option 2 - Select region of your interest in the box located below the theme menu and click on the arrow to zoom into your current location. Option 3 - Click anywhere on the interactive map to zoom in on it.",3.983582
how to choose region??,"There are three ways you can select a region or area of interest. Option 1 - On the Atlas map, Enter a region or area of interest into the search box on the top left-hand corner of the screen. Option 2 - Select region of your interest in the box located below the theme menu and click on the arrow to zoom into your current location. Option 3 - Click anywhere on the interactive map to zoom in on it.",3.560348
Can you help me choose based on gender?,"To filter data by sex, on the Atlas maps, click on the fingerprint icon at the top right-hand side of the page. You can then choose from options like male, female, or all.",3.632747
Where can I find options for different genders on this website?,"To filter data by sex, on the Atlas maps, click on the fingerprint icon at the top right-hand side of the page. You can then choose from options like male, female, or all.",3.434167
How can I find options for different age groups on this website?,"Click on Atlas maps, then navigate to right-hand side pane and then click on themes icon, type your theme of interest in the search box. If data is available, you can find various subcategories to scroll down and select the most suitable one for you.",3.875356
Where can I look for details on specific age categories or ranges?,"To filter data by age groups, on the Atlas maps, click on the fingerprint icon located at the top right-hand side of the page. From there, you can adjust the age groups from 0 to 24.",3.856106
can i choose particular year?,"On the Atlas maps, go to the top right-hand side pane and click on the calendar symbol, which allows you to choose the collection year(s). You can choose available data collection years from 2006-2022.",3.740227
what particular year data have you got,"On the Atlas maps, go to the top right-hand side pane and click on the calendar symbol, which allows you to choose the collection year(s). You can choose available data collection years from 2006-2022.",3.545649
What geographical or statistical areas your map covers?,"To find detailed information about Statistical areas, go to Homepage -> Main Menu options-> Technical Information -> Statistical areas",3.631424
What all filters are available for various statistical areas?,"To find detailed information about Statistical areas, go to Homepage -> Main Menu options-> Technical Information -> Statistical areas",3.797932
How can I find information about different political areas on this website?,"The technical information document provides an overview of the data cleaning and data processing activities conducted in the creation of the Australian Child and Youth Wellbeing Atlas. Additionally, it includes information about certain statistical methods employed throughout the data preparation and cleaning process including Age groupings, Association and cause, Bias, Chance or random error, Confounding, Small numbers, Standardised ratios and Crude rates.",3.513549
What are service layers?,"There is an option on the right-hand side pane on Atlas maps to display various services available for children and young people in the selected area. Choose from one of five service layers by clicking on the name in the menu, based on service layer(s) of interest. Different services are symbolised through a dot on the map. Hover over the dot to see the name of the service.",3.783705
How can I find information about healthcare and childcare,"There is an option on the right-hand side pane on Atlas maps to display various services available for children and young people in the selected area. Choose from one of five service layers by clicking on the name in the menu, based on service layer(s) of interest. Different services are symbolised through a dot on the map. Hover over the dot to see the name of the service.",3.776704
What is national scale?,The first help screen explains the National scale and scoring categories represented in different colours.,3.437475
What does the color codes for different region indiactes?,"There are three ways you can select a region or area of interest. Option 1 - On the Atlas map, Enter a region or area of interest into the search box on the top left-hand corner of the screen. Option 2 - Select region of your interest in the box located below the theme menu and click on the arrow to zoom into your current location. Option 3 - Click anywhere on the interactive map to zoom in on it.",3.512132
you know where to find distribition chart to see the indicator data,"All results for the specific indicator will display on a national distribution chart. The result for the chosen area is visualised beneath the chart by a black dot. By clicking anywhere on the same chart, it will display the results for the same indicator in other statistical/geographical areas.",3.355651
How do I know the distribution of an indicator across different places in Australia?,"All results for the specific indicator will display on a national distribution chart. The result for the chosen area is visualised beneath the chart by a black dot. By clicking anywhere on the same chart, it will display the results for the same indicator in other statistical/geographical areas.",3.579615
which time data do you have?,Results for all collection years available are indicated on the time series chart. Clicking on any of the time dots will show results for the specific year or time period.,3.529373
You have data upto which time series?,Results for all collection years available are indicated on the time series chart. Clicking on any of the time dots will show results for the specific year or time period.,3.692733
do you have data on lgbtq,"In the Atlas prototype, data has not been disaggregated by gender identity. It only provides a breakdown based on the traditional categories of female and male.",3.621028
do you have data on first nation aboriginal and young people,"In the Atlas prototype, data has not yet been disaggregated for First Nations children and young people. This decision arises from our profound awareness of the commonly inadequate representation of wellbeing outcomes concerning First Nations children and young people.",3.968749
where can i get info on aboriginals,"In the Atlas prototype, data has not yet been disaggregated for First Nations children and young people. This decision arises from our profound awareness of the commonly inadequate representation of wellbeing outcomes concerning First Nations children and young people.",3.579321
do you have data on indigeneous people,"In the Atlas prototype, data has not yet been disaggregated for First Nations children and young people. This decision arises from our profound awareness of the commonly inadequate representation of wellbeing outcomes concerning First Nations children and young people.",3.584522
i need to see for lgbtq,"In the Atlas prototype, data has not been disaggregated by gender identity. It only provides a breakdown based on the traditional categories of female and male.",3.551499
"I need to locate data for LGBTQ, where do I go?","In the Atlas prototype, data has not been disaggregated by gender identity. It only provides a breakdown based on the traditional categories of female and male.",4.017532
Can you guide me to LGBTQ data?,"In the Atlas prototype, data has not been disaggregated by gender identity. It only provides a breakdown based on the traditional categories of female and male.",3.48184
How do I access the LGBTQ information?,"In the Atlas prototype, data has not been disaggregated by gender identity. It only provides a breakdown based on the traditional categories of female and male.",3.589479
Where can I access information for the LGBTQ community?,"In the Atlas prototype, data has not been disaggregated by gender identity. It only provides a breakdown based on the traditional categories of female and male.",3.867096
Can you show me the data on Indigenous populations?,"In the Atlas prototype, data has not yet been disaggregated for First Nations children and young people. This decision arises from our profound awareness of the commonly inadequate representation of wellbeing outcomes concerning First Nations children and young people.",3.702586
Where do I access info on the Aboriginal community?,"Click on Atlas maps, then navigate to right-hand side pane and then click on themes icon, type your theme of interest in the search box. If data is available, you can find various subcategories to scroll down and select the most suitable one for you.",3.756744
How can I locate data on Aboriginal people?,"In the Atlas prototype, data has not yet been disaggregated for First Nations children and young people. This decision arises from our profound awareness of the commonly inadequate representation of wellbeing outcomes concerning First Nations children and young people.",4.288722
"Can I access data on First Nation, Aboriginal, and youth populations?","Click on Atlas maps, then navigate to right-hand side pane and then click on themes icon, type your theme of interest in the search box. If data is available, you can find various subcategories to scroll down and select the most suitable one for you.",3.95102
How current is your time series data?,Results for all collection years available are indicated on the time series chart. Clicking on any of the time dots will show results for the specific year or time period.,3.667209
How far does your time series data extend?,Results for all collection years available are indicated on the time series chart. Clicking on any of the time dots will show results for the specific year or time period.,3.651325
What is the most recent time series data you have?,Results for all collection years available are indicated on the time series chart. Clicking on any of the time dots will show results for the specific year or time period.,3.980216
Until which time period do you have data?,Results for all collection years available are indicated on the time series chart. Clicking on any of the time dots will show results for the specific year or time period.,3.514319
Where can I find the distribution for various locations in Australia?,"All results for the specific indicator will display on a national distribution chart. The result for the chosen area is visualised beneath the chart by a black dot. By clicking anywhere on the same chart, it will display the results for the same indicator in other statistical/geographical areas.",3.182488
How can I see the indicator distribution across Australia?,"All results for the specific indicator will display on a national distribution chart. The result for the chosen area is visualised beneath the chart by a black dot. By clicking anywhere on the same chart, it will display the results for the same indicator in other statistical/geographical areas.",3.726121
What is SA2?,"SA2s are medium-sized areas that represent communities with shared social and economic characteristics. They typically have populations ranging from 3,000 to 25,000 people, with smaller populations in rural areas. SA2s are the smallest areas where non-census statistics can be released by the ABS. In urban areas, they often align with single suburbs or groups of related suburbs, for more information visit https://australianchildatlas.com/statistical-areas.",4.481928
Can you help me find where to look for information about SA3 on this website?,"SA3s are larger regions made up of neighbouring SA2 areas. They generally have populations between 30,000 and 130,000 people and often align with local government boundaries. In regional areas, SA3s represent distinct regions, and they are named after well-known regions, cities, or economic hubs, for more information visit https://australianchildatlas.com/statistical-areas.",3.956586
What do you mean by SA4?,"SA4s are broad geographical areas consisting of neighbouring SA3 regions. They are mainly used for labour market analysis and have populations ranging from 100,000 to 500,000 people. These areas are named after major cities, employment centres, or well-known regional areas they cover, for more information visit https://australianchildatlas.com/statistical-areas.",3.549509
What is LGA?,"Local Government Areas (LGAs) are an ABS approximation of officially gazetted LGAs as defined by State and Local Government departments. LGAs cover incorporated areas of Australia, which are geographical areas that are the responsibility of incorporated local governing bodies.",3.998588
What sections can I explore to learn about statistical areas on this website?,"To find detailed information about Statistical areas, go to Homepage -> Main Menu options-> Technical Information -> Statistical areas",4.084629
tell me about homelessness,"Click on Atlas maps, then navigate to right-hand side pane and then click on themes icon, type your theme of interest in the search box. If data is available, you can find various subcategories to scroll down and select the most suitable one for you.",3.783835
do you have data on sexual assault,"Click on Atlas maps, then navigate to right-hand side pane and then click on themes icon, type your theme of interest in the search box. If data is available, you can find various subcategories to scroll down and select the most suitable one for you.",3.680268
give me about physical health,"Click on Atlas maps, then navigate to right-hand side pane and then click on themes icon, type your theme of interest in the search box. If data is available, you can find various subcategories to scroll down and select the most suitable one for you.",3.718413
do you have data on religious people,"Click on Atlas maps, then navigate to right-hand side pane and then click on themes icon, type your theme of interest in the search box. If data is available, you can find various subcategories to scroll down and select the most suitable one for you.",3.71522
i want to see data on housing now?,"Click on Atlas maps, then navigate to right-hand side pane and then click on themes icon, type your theme of interest in the search box. If data is available, you can find various subcategories to scroll down and select the most suitable one for you.",3.545891
anything on mental health related people?,"Click on Atlas maps, then navigate to right-hand side pane and then click on themes icon, type your theme of interest in the search box. If data is available, you can find various subcategories to scroll down and select the most suitable one for you.",3.710879
how many injury cases are there,"Click on Atlas maps, then navigate to right-hand side pane and then click on themes icon, type your theme of interest in the search box. If data is available, you can find various subcategories to scroll down and select the most suitable one for you.",3.706145
can you take me to data avaibale for stealing motor vehicle,"Click on Atlas maps, then navigate to right-hand side pane and then click on themes icon, type your theme of interest in the search box. If data is available, you can find various subcategories to scroll down and select the most suitable one for you.",3.66767
